Link,Visited,Status
https://bxvfe.hrm.clickspikes.com/plans,2025-11-08 14:27:58,OK
https://bxvfe.hrm.clickspikes.com/change-language/es,2025-11-08 14:28:01,OK
https://bxvfe.hrm.clickspikes.com/dashboard,2025-11-08 14:28:04,OK
https://bxvfe.hrm.clickspikes.com/report/leave,2025-11-08 14:28:07,OK
https://bxvfe.hrm.clickspikes.com/change-language/pl,2025-11-08 14:28:10,OK
https://bxvfe.hrm.clickspikes.com/change-language/tr,2025-11-08 14:28:14,OK
https://bxvfe.hrm.clickspikes.com/print-setting,2025-11-08 14:28:17,OK
https://bxvfe.hrm.clickspikes.com/logout,2025-11-08 14:28:21,OK
https://bxvfe.hrm.clickspikes.com/employee,2025-11-08 14:28:24,OK
https://bxvfe.hrm.clickspikes.com/change-language/ru,2025-11-08 14:28:27,OK
https://bxvfe.hrm.clickspikes.com/change-language/it,2025-11-08 14:28:30,OK
https://bxvfe.hrm.clickspikes.com/change-language/de,2025-11-08 14:28:34,OK
https://bxvfe.hrm.clickspikes.com/leave,2025-11-08 14:28:37,OK
https://bxvfe.hrm.clickspikes.com/change-language/zh,2025-11-08 14:28:40,OK
https://bxvfe.hrm.clickspikes.com/report/income-expense,2025-11-08 14:28:44,OK
https://bxvfe.hrm.clickspikes.com/report/timesheet,2025-11-08 14:28:47,OK
https://bxvfe.hrm.clickspikes.com/profile,2025-11-08 14:28:49,OK
https://bxvfe.hrm.clickspikes.com/settings,2025-11-08 14:28:52,OK
https://bxvfe.hrm.clickspikes.com/report/monthly/attendance,2025-11-08 14:28:56,OK
https://bxvfe.hrm.clickspikes.com/attendanceemployee/bulkattendance,2025-11-08 14:28:59,OK
https://bxvfe.hrm.clickspikes.com/timesheet,2025-11-08 14:29:02,OK
https://bxvfe.hrm.clickspikes.com/taxes,2025-11-08 14:29:05,OK
https://bxvfe.hrm.clickspikes.com/change-language/pt-br,2025-11-08 14:29:08,OK
https://bxvfe.hrm.clickspikes.com/change-language/ja,2025-11-08 14:29:12,OK
https://bxvfe.hrm.clickspikes.com/chats,2025-11-08 14:29:15,OK
https://bxvfe.hrm.clickspikes.com/payslip,2025-11-08 14:29:18,OK
https://bxvfe.hrm.clickspikes.com/home,2025-11-08 14:29:22,OK
https://bxvfe.hrm.clickspikes.com/setsalary,2025-11-08 14:29:24,OK
https://bxvfe.hrm.clickspikes.com/change-language/ar,2025-11-08 14:29:27,OK
https://bxvfe.hrm.clickspikes.com/dashboard#!,2025-11-08 14:29:31,OK
https://bxvfe.hrm.clickspikes.com/change-language/he,2025-11-08 14:29:34,OK
https://bxvfe.hrm.clickspikes.com/change-language/da,2025-11-08 14:29:38,OK
https://bxvfe.hrm.clickspikes.com/report/payroll,2025-11-08 14:29:41,OK
https://bxvfe.hrm.clickspikes.com/features,2025-11-08 14:29:44,OK
https://bxvfe.hrm.clickspikes.com/change-language/fr,2025-11-08 14:29:49,OK
https://bxvfe.hrm.clickspikes.com/change-language/en,2025-11-08 14:29:52,OK
https://bxvfe.hrm.clickspikes.com/attendanceemployee,2025-11-08 14:29:56,OK
https://bxvfe.hrm.clickspikes.com/change-language/nl,2025-11-08 14:29:59,OK
https://bxvfe.hrm.clickspikes.com/change-language/pt,2025-11-08 14:30:02,OK
https://bxvfe.hrm.clickspikes.com/report/account-statement,2025-11-08 14:30:06,OK
